400 400
300 0 8283729337599417865
300 1 -4839050242835494798
300 2 -6965731031849751279
300 3 5132177635092974525
300 4 -6157778803569360539
300 5 -6132254844442043630
300 6 5426406363369532384
300 7 -5989534379923832176
300 8 8794310954915422940
300 9 -97670894448790583
300 10 -856985393009211396
300 11 185935692209134985
300 12 -2358178613008325242
300 13 -6957211856654183600
300 14 -2888300141234308311
300 15 7468037904763210319
300 16 -5431275223547396723
300 17 8413475836651667754
300 18 5914341711899412074
300 19 7276715516677264292
300 20 4599099435192646355
300 21 6511901160329894410
300 22 -7621004098973108919
300 23 2859643973366839680
300 24 7276769568708205816
300 25 3966923364036767432
300 26 -8700692200247721578
300 27 7505566107812836577
300 28 4878890623101557632
300 29 7183477754784590252
300 30 -2167738742577629137
300 31 -8291812228927498084
300 32 5621127374780258007
300 33 5753186993618152355
300 34 2190419390111749066
300 35 -7101677642155979097
300 36 1680912650154733641
300 37 -9116585287736247362
300 38 273550497550480148
300 39 2508423419753586317
300 40 6816201628659596193
300 41 -8705851431383541417
300 42 2207760246222990437
300 43 1081202793208372791
300 44 4551234750522445549
300 45 3277902788735343689
300 46 4385445745720512639
300 47 -3257857211321855999
300 48 891887507744093694
300 49 479595898281939704
300 50 2175915844682537314
300 51 4616728780045375069
300 52 4648791285568056111
300 53 2932215241726559200
300 54 -1108348670158402494
300 55 7352025568091833199
300 56 -3869120956796973849
300 57 -1507896949771041259
300 58 -8194795623251962570
300 59 -7076341073455473832
300 60 8069319831664311979
300 61 4436332048319254018
300 62 -2330740824360607314
300 63 6802005451282665884
300 64 5635987975597223827
300 65 1198441829566467090
300 66 -2648343691945307653
300 67 -1684721732112843088
300 68 333123982676086481
300 69 3792960029345332041
300 70 -2700154216336587999
300 71 -2614894221041046868
300 72 -8485487221496951168
300 73 387712705254551610
300 74 -5142409866462191218
300 75 5890553612733152547
300 76 -7421116150489218246
300 77 -4867485579584417009
300 78 7942858554343209667
300 79 -3735559761087753779
300 80 4961026512423759119
300 81 -664491717901689878
300 82 20410284077848130
300 83 -6885477401663052715
300 84 -3780477148167395471
300 85 6170235371795360452
300 86 8894359508679013415
300 87 -2182113007773513845
300 88 3462213945306329781
300 89 2868119244851911026
300 90 765474135024848811
300 91 -971305606720111540
300 92 4636570553313951627
300 93 -8438183214196974930
300 94 8565286758386248956
300 95 4456103672946047494
300 96 -8125045931900880199
300 97 730664468586070017
300 98 -8129598621173859351
300 99 7404429845310154367
300 100 277634713818194779
300 101 -3850092931623171980
300 102 3247765328302607693
300 103 279349687097420867
300 104 -7290939564953545665
300 105 -936233834926140326
300 106 -8982365013976758004
300 107 494107185652240621
300 108 5527655029983214214
300 109 547152098657465054
300 110 1965941700156235290
300 111 -8406328703267746909
300 112 -8868816895287287809
300 113 2042322956022768624
300 114 -6442010328433795247
300 115 3226540932978244159
300 116 4543116394957982160
300 117 -4772822766209020583
300 118 -5633879224631081564
300 119 5747574265275786730
300 120 -8660643458709712498
300 121 -973956003337601106
300 122 -6542076121199192563
300 123 2898604220605000776
300 124 -6197485980350093833
300 125 7023617544351343662
300 126 354986320075110290
300 127 -4953661211490877984
300 128 -3355239174081258896
300 129 4508464475359359418
300 130 -3264450555954039153
300 131 -4156511102065580983
300 132 -2416202739419212368
300 133 -2163700900060169527
300 134 -1176781854210690662
300 135 -4176340915150245130
300 136 -8054557432639411620
300 137 -5715340206653764163
300 138 2623010644223708734
300 139 5510818090589716816
300 140 -9146665196155430158
300 141 -2635597098577757786
300 142 -152531308345300254
300 143 405208692557084166
300 144 -1192784758029503528
300 145 -8408422446173024563
300 146 -7305237094161865673
300 147 7792300814071275947
300 148 3434872456640002283
300 149 -4045123187781812793
300 150 -3673643080075517706
300 151 -1361235270388383607
300 152 9168035533580696511
300 153 2390751442811707861
300 154 -7906584735632306901
300 155 -4016784125854913447
300 156 1143739682179964239
300 157 4045990699802881813
300 158 602642312820089510
300 159 -2358657000845970356
300 160 4581695569240850849
300 161 -3914213147492570136
300 162 -6886703227743097872
